index,title,type,date,year,month,month_name,date_sort,url,slug,img,source_page,source_method,topic_tags
17,"APEC Workshop on Empowering Women in Just Energy Transitions","Proceedings","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/apec-workshop-on-empowering-women-in-just-energy-transitions","apec-workshop-on-empowering-women-in-just-energy-transitions","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ppwe_apec-workshop-on-empowering-women-in-just-energy-transitions.tmb-h300.jpg?Culture=en&sfvrsn=cb5ca7b6_1",2,"api","sustainability|women|energy"
18,"Summary Report - Symposium on Promoting Women’s Economic Empowerment through Financial Inclusion Initiatives","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/summary-report---symposium-on-promoting-women-s-economic-empowerment-through-financial-inclusion-initiatives","summary-report---symposium-on-promoting-women-s-economic-empowerment-through-financial-inclusion-initiatives","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ppwe_symposium-on-promoting-women-s-economic-empowerment-through-financial-inclusion-initiatives.tmb-h300.jpg?Culture=en&sfvrsn=b958f01e_1",2,"api","women|finance"
19,"Best Practices on Women's Participation in Global Value Chain of Agricultural Products Toward Sustainable Development","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/best-practices-on-women's-participation-in-global-value-chain-of-agricultural-products-toward-sustainable-development","best-practices-on-women's-participation-in-global-value-chain-of-agricultural-products-toward-sustainable-development","https://www.apec.org/images/default-source/publication/2026/4/cover_226_atcwg_best-practices-on-women's-participation-in-global-value-chain.tmb-h300.jpg?Culture=en&sfvrsn=450d3dba_1",3,"api","trade|sustainability|women|agriculture"
20,"Policy Dialogue on AI in Trade Context for Enhanced Cooperation within APEC","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/policy-dialogue-on-ai-in-trade-context-for-enhanced-cooperation-within-apec","policy-dialogue-on-ai-in-trade-context-for-enhanced-cooperation-within-apec","https://www.apec.org/images/default-source/publication/2026/4/cover_226_desg_policy-dialogue-on-ai-in-trade-context-for-enhanced-cooperation-within-apec.tmb-h300.jpg?Culture=en&sfvrsn=6e46d357_1",3,"api","digital|trade"
21,"Transport Decarbonisation Pathways in APEC: Electric Vehicles, Fuel Cell Vehicles, and Informed Decision-Making","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/transport-decarbonisation-pathways-in-apec--electric-vehicles--fuel-cell-vehicles--and-informed-decision-making","transport-decarbonisation-pathways-in-apec--electric-vehicles--fuel-cell-vehicles--and-informed-decision-making","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ewg_transport-decarbonisation-pathways-in-apec.tmb-h300.jpg?Culture=en&sfvrsn=9a081cd5_1",3,"api","sustainability|energy"
22,"Structural Reform and Residents' Income Growth in APEC Economies: Empirical Assessment and Case Studies","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/structural-reform-and-residents'-income-growth-in-apec-economies--empirical-assessment-and-case-studies","structural-reform-and-residents'-income-growth-in-apec-economies--empirical-assessment-and-case-studies","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ec_structural-reform-and-residents'-income-growth-in-apec-economies.tmb-h300.jpg?Culture=en&sfvrsn=a8cad09a_1",3,"api","smes"
23,"2025 APEC Symposium on Energy Transition: Batteries, Fuel Cells & Electric Vehicles - Project Report","Proceedings","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/2025-apec-symposium-on-energy-transition--batteries--fuel-cells---electric-vehicles---project-report","2025-apec-symposium-on-energy-transition--batteries--fuel-cells---electric-vehicles---project-report","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ewg_2025-apec-symposium-on-energy-transition.tmb-h300.jpg?Culture=en&sfvrsn=8eee7b0a_1",3,"api","sustainability|energy"
24,"Building Resilient Energy Policies in Asia-Pacific","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/building-resilient-energy-policies-in-asia-pacific","building-resilient-energy-policies-in-asia-pacific","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ewg_building-resilient-energy-policies-in-asia-pacific.tmb-h300.jpg?Culture=en&sfvrsn=ff25a340_1",3,"api","energy"
25,"APEC Resource Guide: Building Supply Chain Resilience in the Chemical Sector","Manuals","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/apec-resource-guide--building-supply-chain-resilience-in-the-chemical-sector","apec-resource-guide--building-supply-chain-resilience-in-the-chemical-sector","https://www.apec.org/images/default-source/publication/2026/4/cover_226_cd_apec-resource-guide---building-supply-chain-resilience-in-the-chemical-sector.tmb-h300.jpg?Culture=en&sfvrsn=8ec6dae_1",3,"api","trade"
26,"Recommendations Report - Development and Application of Ex Post Regulatory Impact Assessment (RIA) Indicators for the Fisheries Management of Jack Mackerel and Jumbo Flying Squid in APEC Economies","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/recommendations-report---development-and-application-of-ex-post-regulatory-impact-assessment-(ria)-indicators-for-the-fisheries-management-of-jack-mackerel-and-jumbo-flying-squid-in-apec-economies","recommendations-report---development-and-application-of-ex-post-regulatory-impact-assessment-(ria)-indicators-for-the-fisheries-management-of-jack-mackerel-and-jumbo-flying-squid-in-apec-economies","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ofwg_recommendations-report---development-and-application-of-ex-post-regulatory-impact-assessment.tmb-h300.jpg?Culture=en&sfvrsn=b87cff75_1",3,"api","smes|agriculture|regulation"
27,"2025 APEC International Seminar on the Application of Smart Technology to Textile Industry","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/2025-apec-international-seminar-on-the-application-of-smart-technology-to-textile-industry","2025-apec-international-seminar-on-the-application-of-smart-technology-to-textile-industry","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ppsti_seminar-on-the-application-of-smart-technology-to-textile-industry.tmb-h300.jpg?Culture=en&sfvrsn=4e7e3230_1",3,"api","digital"
28,"Strategies and Best Practices to Reduce Road Traffic Related to Trade in APEC Economies Using Technology and Artificial Intelligence","Proceedings","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/strategies-and-best-practices-to-reduce-road-traffic-related-to-trade-in-apec-economies-using-technology-and-artificial-intelligence","strategies-and-best-practices-to-reduce-road-traffic-related-to-trade-in-apec-economies-using-technology-and-artificial-intelligence","https://www.apec.org/images/default-source/publication/2026/4/cover_226_tpt_strategies-and-best-practices-to-reduce-road-traffic-related-to-trade.tmb-h300.jpg?Culture=en&sfvrsn=fd76232a_1",4,"api","digital|trade"
29,"APEC Workshop: Towards Digital Trade Ecosystem in the Asia-Pacific Region","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/apec-workshop--towards-digital-trade-ecosystem-in-the-asia-pacific-region","apec-workshop--towards-digital-trade-ecosystem-in-the-asia-pacific-region","https://www.apec.org/images/default-source/publication/2026/4/cover_226_cti_towards-digital-trade-ecosystem-in-the-asia-pacific-region.tmb-h300.jpg?Culture=en&sfvrsn=1885a2b5_1",4,"api","digital|trade"
30,"Compilation of Publicly Accessible Websites and Databases of the APEC Economies","Manuals","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/compilation-of-publicly-accessible-websites-and-databases-of-the-apec-economies","compilation-of-publicly-accessible-websites-and-databases-of-the-apec-economies","https://www.apec.org/images/default-source/publication/2026/4/cover_226_actwg_compilation-of-publicly-accessible-websites-and-databases-of-the-apec-economies.tmb-h300.jpg?Culture=en&sfvrsn=e7f5337c_1",4,"api","digital"
31,"Status of Obesity Prevalence, Prevention, and Management in APEC","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/status-of-obesity-prevalence--prevention--and-management-in-apec","status-of-obesity-prevalence--prevention--and-management-in-apec","https://www.apec.org/images/default-source/publication/2026/4/cover_226_hwg_status-of-obesity-prevalence-prevention-and-management-in-apec.tmb-h300.jpg?Culture=en&sfvrsn=f1fc9fb_1",4,"api","health"
32,"Best Practices on Trade Facilitation for MSMEs, Including Women-Owned MSMEs: Shaping Better Opportunity in The Regional and Global Values Chains","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/best-practices-on-trade-facilitation-for-msmes--including-women-owned-msmes--shaping-better-opportunity-in-the-regional-and-global-values-chains","best-practices-on-trade-facilitation-for-msmes--including-women-owned-msmes--shaping-better-opportunity-in-the-regional-and-global-values-chains","https://www.apec.org/images/default-source/publication/2026/4/cover_226_cti_best-practices-on-trade-facilitation-for-msmes.tmb-h300.jpg?Culture=en&sfvrsn=fdf09db5_1",4,"api","trade|women|smes"
33,"Future-ready Growth in APEC: Unlocking New Drivers and Fortifying Resilience","Reports","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/future-ready-growth-in-apec--unlocking-new-drivers-and-fortifying-resilience","future-ready-growth-in-apec--unlocking-new-drivers-and-fortifying-resilience","https://www.apec.org/images/default-source/publication/2026/3/cover_226_psu_pb-71.tmb-h300.jpg?Culture=en&sfvrsn=ca868303_1",4,"api",""
34,"The Digital Transformation of Trade Facilitation in APEC","Reports","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/the-digital-transformation-of-trade-facilitation-in-apec","the-digital-transformation-of-trade-facilitation-in-apec","https://www.apec.org/images/default-source/publication/2026/3/cover_226_psu_pb-709176fb3f-26c7-496f-92cf-bd726b62dbf1.tmb-h300.jpg?Culture=en&sfvrsn=8306eb_1",4,"api","digital|trade"
35,"Compendium of Best Practices of Women Leadership in Sustainability","Manuals","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/compendium-of-best-practices-of-women-leadership-in-sustainability","compendium-of-best-practices-of-women-leadership-in-sustainability","https://www.apec.org/images/default-source/publication/2026/3/cover_226_ppwe_compendium-of-best-practices-of-women-leadership-in-sustainability0aa443ca-2ce5-4137-bc91-238893608640.tmb-h300.jpg?Culture=en&sfvrsn=f0bb8953_1",4,"api","sustainability|women"
36,"The Entrepreneurial Ecosystem and Capacity Building of Sustainable Entrepreneurship in APEC Economies","Reports","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/the-entrepreneurial-ecosystem-and-capacity-building-of-sustainable-entrepreneurship-in-apec-economies","the-entrepreneurial-ecosystem-and-capacity-building-of-sustainable-entrepreneurship-in-apec-economies","https://www.apec.org/images/default-source/publication/2026/3/cover_226_hrd_the-entrepreneurial-ecosystem-and-capacity-building-of-sustainable-entrepreneurship-in-apec-economies.tmb-h300.jpg?Culture=en&sfvrsn=1094dfe6_1",4,"api","sustainability"
37,"Rules of Origin in Modern Trade Agreements: Trends and Challenges","Reports","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/rules-of-origin-in-modern-trade-agreements--trends-and-challenges","rules-of-origin-in-modern-trade-agreements--trends-and-challenges","https://www.apec.org/images/default-source/publication/2026/3/cover_226_psu_roo-in-modern-trade-agreements0b8d1544-1e26-44bb-a82a-e7fb4270d10d.tmb-h300.jpg?Culture=en&sfvrsn=e8edaa32_1",5,"api","trade"
38,"APEC Forum on Women and Youth Empowerment: Enhancing Digital Competitiveness and Inclusive Economic Growth through Innovative Enterprise Education","Proceedings","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/apec-forum-on-women-and-youth-empowerment--enhancing-digital-competitiveness-and-inclusive-economic-growth-through-innovative-enterprise-education","apec-forum-on-women-and-youth-empowerment--enhancing-digital-competitiveness-and-inclusive-economic-growth-through-innovative-enterprise-education","https://www.apec.org/images/default-source/publication/2026/3/cover_226_hrdwg_apec-forum-on-women-and-youth-empowerment.tmb-h300.jpg?Culture=en&sfvrsn=8ecf8ddf_1",5,"api","digital|women"
39,"APEC Capacity Building Workshop on Energy Efficiency and Conservation Policy: Members’ Journey with MEPS","Proceedings","March 2026",2026,3,"March","2026-03","https://www.apec.org/publications/2026/03/apec-capacity-building-workshop-on-energy-efficiency-and-conservation-policy--members--journey-with-meps","apec-capacity-building-workshop-on-energy-efficiency-and-conservation-policy--members--journey-with-meps","https://www.apec.org/images/default-source/publication/2026/3/cover_226_ewg_capacity-building-workshop-on-energy-efficiency-and-conservation-policy.tmb-h300.jpg?Culture=en&sfvrsn=2ade686a_1",5,"api","energy"
40,"APEC Symposium: Disaster Resilience for a Sustainable Future: Exchanging Experiences in Geospatial Information Management in the Context of Forest Fires - Summary Report","Reports","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/apec-symposium--disaster-resilience-for-a-sustainable-future--exchanging-experiences-in-geospatial-information-management-in-the-context-of-forest-fires---summary-report","apec-symposium--disaster-resilience-for-a-sustainable-future--exchanging-experiences-in-geospatial-information-management-in-the-context-of-forest-fires---summary-report","https://www.apec.org/images/default-source/publication/2026/3/cover_226_epwg_disaster-resilience-for-a-sustainable-future.tmb-h300.jpg?Culture=en&sfvrsn=16a551de_1",5,"api","sustainability"
41,"Status of Obesity Prevalence, Prevention, and Management in APEC: Event Summary Report","Proceedings","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/status-of-obesity-prevalence--prevention--and-management-in-apec--event-summary-report","status-of-obesity-prevalence--prevention--and-management-in-apec--event-summary-report","https://www.apec.org/images/default-source/publication/2026/3/cover_226_hwg_status-of-obesity-prevalence-prevention-and-management-in-apec-event-summary-report.tmb-h300.jpg?Culture=en&sfvrsn=4db8fc4e_1",5,"api","health"
42,"Survey and Workshop on Market Compliance Mechanism for Self-Declaration of Standard Compliance on Textiles and Textile Product - Project Summary Report","Reports","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/survey-and-workshop-on-market-compliance-mechanism-for-self-declaration-of-standard-compliance-on-textiles-and-textile-product---project-summary-report","survey-and-workshop-on-market-compliance-mechanism-for-self-declaration-of-standard-compliance-on-textiles-and-textile-product---project-summary-report","https://www.apec.org/images/default-source/publication/2026/3/cover_226_scsc_market-compliance-mechanism-for-textile.tmb-h300.jpg?Culture=en&sfvrsn=3b335e2d_1",5,"api","regulation"
43,"APEC Enablers of Health Data Sharing Checklist","Manuals","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/apec-enablers-of-health-data-sharing-checklist","apec-enablers-of-health-data-sharing-checklist","https://www.apec.org/images/default-source/publication/2026/3/cover_226_hwg_apec-enablers-of-health-data-sharing-checklist.tmb-h300.jpg?Culture=en&sfvrsn=8788c447_1",5,"api","digital|health"
44,"Compendium of Anti-Corruption Prevention Systems for Public Sector and Law Enforcement Agencies","Manuals","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/compendium-of-anti-corruption-prevention-systems-for-public-sector-and-law-enforcement-agencies","compendium-of-anti-corruption-prevention-systems-for-public-sector-and-law-enforcement-agencies","https://www.apec.org/images/default-source/publication/2026/3/cover_226_actwg_compendium-of-anti-corruption-prevention-systems-for-public-sector-and-law-enforcement-agencies.tmb-h300.jpg?Culture=en&sfvrsn=bedb5785_1",5,"api",""
45,"2025 APEC Economic Policy Report","Reports","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/2025-apec-economic-policy-report","2025-apec-economic-policy-report","https://www.apec.org/images/default-source/publication/2026/2/cover_226_ec_aepr-2025.tmb-h300.jpg?Culture=en&sfvrsn=f5e9fbfc_1",5,"api",""
46,"Agro-Industrial Waste as A Resource for Sustainable Textile Dyeing: A Circular Economy Perspective","Reports","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/agro-industrial-waste-as-a-resource-for-sustainable-textile-dyeing--a-circular-economy-perspective","agro-industrial-waste-as-a-resource-for-sustainable-textile-dyeing--a-circular-economy-perspective","https://www.apec.org/images/default-source/publication/2026/2/cover_226_sme_-agro-industrial-waste.tmb-h300.jpg?Culture=en&sfvrsn=a8b4be6c_1",6,"api","sustainability"
47,"CTI Public – Private Dialogue (PPD) on Follow-up Initiative on Promoting Transparency Through the Improvement of Information Submitted in the Sanitary and Phytosanitary (SPS) Notifications","Proceedings","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/cti-public---private-dialogue-(ppd)-on-follow-up-initiative-on-promoting-transparency-through-the-improvement-of-information-submitted-in-the-sanitary-and-phytosanitary-(sps)-notifications","cti-public---private-dialogue-(ppd)-on-follow-up-initiative-on-promoting-transparency-through-the-improvement-of-information-submitted-in-the-sanitary-and-phytosanitary-(sps)-notifications","https://www.apec.org/images/default-source/publication/2026/2/cover_226_cti_ppd-sps.tmb-h300.jpg?Culture=en&sfvrsn=c887d278_1",6,"api",""
48,"Improving Patient Access Across the Lung Cancer Care Continuum","Proceedings","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/improving-patient-access-across-the-lung-cancer-care-continuum","improving-patient-access-across-the-lung-cancer-care-continuum","https://www.apec.org/images/default-source/publication/2026/2/cover_226_hwg_improving-patient-access-across-the-lung-cancer-care-continuum.tmb-h300.jpg?Culture=en&sfvrsn=a6739cc_1",6,"api","health"
49,"APEC Workshop on Strategies to Enhance Integrated People-Centered Health Care - Summary Report","Proceedings","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/apec-workshop-on-strategies-to-enhance-integrated-people-centered-health-care---summary-report","apec-workshop-on-strategies-to-enhance-integrated-people-centered-health-care---summary-report","https://www.apec.org/images/default-source/publication/2026/2/cover_226_hwg_apec-workshop-on-strategies-to-enhance-integrated-people-centered-health-care.tmb-h300.jpg?Culture=en&sfvrsn=8b8e839_1",6,"api","health"
50,"Workshop on Privacy Enhancing Technologies - Opportunities and Challenges","Proceedings","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/workshop-on-privacy-enhancing-technologies---opportunities-and-challenges","workshop-on-privacy-enhancing-technologies---opportunities-and-challenges","https://www.apec.org/images/default-source/publication/2026/2/cover_226_desg_workshop-on-privacy-enhancing-technologies.tmb-h300.jpg?Culture=en&sfvrsn=da18252c_1",6,"api",""
51,"APEC Regional Trends Analysis, February 2026","Reports","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/apec-regional-trends-analysis--february-2026","apec-regional-trends-analysis--february-2026","https://www.apec.org/images/default-source/publication/2026/2/cover_226_psu_arta-feb-2026.tmb-h300.jpg?Culture=en&sfvrsn=200d6ef1_1",6,"api",""
52,"APEC Symposium on Bioenergy - APEC 3rd Sectoral Symposium for Energy Transition","Proceedings","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/apec-symposium-on-bioenergy---apec-3rd-sectoral-symposium-for-energy-transition","apec-symposium-on-bioenergy---apec-3rd-sectoral-symposium-for-energy-transition","https://www.apec.org/images/default-source/publication/2026/2/cover_226_ewg_apec-symposium-on-bioenergy.tmb-h300.jpg?Culture=en&sfvrsn=7af13b67_1",6,"api","sustainability|energy"
53,"Study on the Effects of Business Formalization Programs on the Productivity and Long-Term Survival of Micro and Small Enterprises in APEC","Reports","February 2026",2026,2,"February","2026-02","https://www.apec.org/publications/2026/02/study-on-the-effects-of-business-formalization-programs-on-the-productivity-and-long-term-survival-of-micro-and-small-enterprises-in-apec","study-on-the-effects-of-business-formalization-programs-on-the-productivity-and-long-term-survival-of-micro-and-small-enterprises-in-apec","https://www.apec.org/images/default-source/publication/2026/2/cover_226_sme_study-on-the-effects-of-business-formalization-programs.tmb-h300.jpg?Culture=en&sfvrsn=1494a2cf_1",6,"api","smes"
